Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
rus,none,standard,pca_21,xgboost,0.8720053835800807,0.7493907913299988,0.8453658536585364,0.9478710871760351,0.7075725830589645,0.8149778567450741,0.9542662205376367,0.8325311265935604
rus,none,standard,pca_21,gradboost,0.738257065948856,0.7130947800436065,0.7042317782593818,0.8392183105218582,0.6784533563317523,0.8106429920864544,0.8361561104749735,0.8068347702792843
rus,none,minmax,none,logreg,0.7243943472409152,0.7112992176478132,0.6773037072056101,0.7814572778226497,0.6662713120830245,0.7739961049800611,0.8089124337142644,0.798760230666348
rus,none,minmax,none,rf,0.9254374158815613,0.7565730409131717,0.9074120498036267,0.9922122649797928,0.7208002353633421,0.8433288320491437,0.9956998651233615,0.8623879114208608
rus,none,minmax,none,dt,0.925807537012113,0.7039887136077979,0.9078292856247127,0.9922506229374533,0.6415035725380552,0.71420970016229,0.9415460473993955,0.7075602529198523
rus,none,minmax,none,knn_5,0.7744616419919246,0.707451583942542,0.7322334518435665,0.8342056159832522,0.6552818497808675,0.7480524995686966,0.8648233345417122,0.7726432944472694
rus,none,minmax,none,xgboost,0.8512113055181696,0.7420802872899833,0.8228365384615384,0.9349315068493151,0.700877584411721,0.8117785817463787,0.9419469988123084,0.8361256974746519
rus,none,minmax,none,gradboost,0.7433378196500673,0.7204052840836219,0.7116286103130197,0.8524530773196596,0.6888381387382243,0.8283119009268307,0.8477126532272228,0.8271615485494453
rus,none,minmax,pca_21,logreg,0.724192462987887,0.7110427087341286,0.6764554963489245,0.7791334879052705,0.6653794742313975,0.7717075885462905,0.8086874171613689,0.7986932719672664
rus,none,minmax,pca_21,rf,0.9203903095558547,0.7516993715531615,0.9017605048995183,0.9916894977168951,0.7177019539224262,0.8464428393787866,0.9966048724613492,0.8594500100225705
rus,none,minmax,pca_21,dt,0.9257065948855989,0.703347441323586,0.9077154559893004,0.992240161382151,0.6391012638477142,0.70860336682414,0.9414665182121839,0.7058086742234208
rus,none,minmax,pca_21,knn_5,0.7743943472409152,0.7057842760035912,0.7322391278303582,0.8344553082893119,0.6535789791603746,0.7466227872289605,0.8647091320252814,0.772287337472976
rus,none,minmax,pca_21,xgboost,0.8725437415881562,0.7474669744773631,0.8459661678594667,0.9482623208325152,0.7027027027027026,0.8028503562945369,0.9530150706943117,0.834299586526494
rus,none,minmax,pca_21,gradboost,0.7347913862718708,0.7082211106835963,0.7073587287443379,0.8613319422709095,0.680791356812123,0.8314461595244058,0.8427919504695631,0.8145511587110861
rus,none,robust,none,logreg,0.7258411843876178,0.7154033602667693,0.6792631081719415,0.7843087895951332,0.6709179890256562,0.7791836139853469,0.8113810194900144,0.8012054972384137
rus,none,robust,none,rf,0.9252691790040377,0.7578555854815955,0.9072225239149505,0.9921948305248547,0.7218621096051856,0.8434404957364547,0.9956894335852531,0.862434272887984
rus,none,robust,none,dt,0.9260094212651413,0.7039887136077979,0.9080570305640339,0.9922715467098718,0.6413921690490989,0.7138828287128186,0.941705105773819,0.707487030114144
rus,none,robust,none,knn_5,0.7793405114401076,0.7073233294856996,0.7349017705554208,0.8282344035829181,0.6513901619309502,0.7363247522648176,0.8707192970062207,0.7769274125233435
rus,none,robust,none,xgboost,0.8512113055181696,0.7420802872899833,0.8228365384615384,0.9349315068493151,0.700877584411721,0.8117785817463787,0.9419469988123084,0.8361256974746519
rus,none,robust,none,gradboost,0.7433378196500673,0.7204052840836219,0.7116286103130197,0.8524530773196596,0.6888381387382243,0.8283119009268307,0.8477040501988367,0.8271711747471989
rus,none,robust,pca_21,logreg,0.7251009421265141,0.7154033602667693,0.6766917293233082,0.777582672813639,0.6679634894508455,0.7694612763362018,0.8106137582569237,0.8017791761560215
rus,none,robust,pca_21,rf,0.9208613728129206,0.7441323585994614,0.9022850020772746,0.9917382660194038,0.7081199707388441,0.832594513768509,0.9968486135397048,0.8560921657472705
rus,none,robust,pca_21,dt,0.9204912516823688,0.6991150442477876,0.901872845812051,0.9916999476636564,0.6357142857142857,0.7079653080770458,0.9373575102062457,0.7023906308217263
rus,none,robust,pca_21,knn_5,0.7787685060565276,0.7069385661151725,0.7344400016155741,0.8283556723609283,0.6510917697358374,0.7362954107723981,0.87071721216336,0.7768168174204735
rus,none,robust,pca_21,xgboost,0.8773889636608344,0.7441323585994614,0.8511194639647002,0.9499249365117226,0.7021054203374646,0.810334999270876,0.9560391572354259,0.837054554777029
rus,none,robust,pca_21,gradboost,0.736507402422611,0.7145055790688727,0.702797070097537,0.8388967295663236,0.6803561171740379,0.813659180977543,0.8375488196837914,0.8085439866275126
rus,log,standard,none,logreg,0.7338829071332436,0.7242529177888931,0.6854142635535578,0.7839388011492283,0.6778543602037759,0.7798965654422491,0.8214584516768506,0.8125837337642849
rus,log,standard,none,rf,0.925235531628533,0.7575990765679107,0.9071846282372598,0.9921913437073898,0.7223038495445195,0.8459929575600327,0.9956633852558321,0.8623665002089452
rus,log,standard,none,dt,0.9257738896366083,0.704373476978325,0.9077913392409297,0.9922471357278414,0.6410216477184238,0.7119496520616843,0.941519537670325,0.7073517678795298
rus,log,standard,none,knn_5,0.7775908479138627,0.7015518789277927,0.7358957967076873,0.8382252034000363,0.6492840994724944,0.7430444070000398,0.8695703264344907,0.7719908364259853
rus,log,standard,none,xgboost,0.8512113055181696,0.7420802872899833,0.8228365384615384,0.9349315068493151,0.700877584411721,0.8117785817463787,0.9419469988123084,0.8361256974746519
rus,log,standard,none,gradboost,0.7433378196500673,0.7204052840836219,0.7116286103130197,0.8524530773196596,0.6888381387382243,0.8283119009268307,0.8477055540199165,0.8271516392282281
rus,log,standard,pca_21,logreg,0.7332436069986541,0.7239964088752084,0.6849968213604577,0.7842286482098368,0.6775546898411747,0.7795517835830793,0.821155675856034,0.8122226097867853
rus,log,standard,pca_21,rf,0.9263795423956931,0.7540079517763242,0.9084748598678156,0.9923099092513057,0.713731343283582,0.8240892942361738,0.9970099618235,0.8596341464450451
rus,log,standard,pca_21,dt,0.920121130551817,0.6916762857509299,0.9014610659139963,0.9916616322688508,0.6253117206982545,0.6940068128592718,0.9370659031864694,0.6935097201947438
rus,log,standard,pca_21,knn_5,0.777557200538358,0.701295370014108,0.7358874995006192,0.8383074213977393,0.6488768279813055,0.7423741856731548,0.8697472426842388,0.7718934773450268
rus,log,standard,pca_21,xgboost,0.8673283983849259,0.7452866487110427,0.8398521587262905,0.9424233181529745,0.700271657108361,0.8004033863220191,0.9518725865716229,0.8314448526455622
rus,log,standard,pca_21,gradboost,0.7458950201884254,0.7213030652815186,0.7070370083016527,0.8273148180478641,0.6825420014609204,0.8035882033844486,0.8437445576507607,0.8152906771973496
rus,log,minmax,none,logreg,0.7322678331090176,0.7236116455046813,0.6843086689148978,0.7844909926142587,0.6770567960437585,0.778872548369558,0.8208701842125651,0.8116126202850034
rus,log,minmax,none,rf,0.925235531628533,0.7575990765679107,0.9071846282372598,0.9921913437073898,0.7223038495445195,0.8459929575600327,0.9956635463795193,0.8623659339620183
rus,log,minmax,none,dt,0.9257738896366083,0.704373476978325,0.9077913392409297,0.9922471357278414,0.6410216477184238,0.7119496520616843,0.941519537670325,0.7073517678795298
rus,log,minmax,none,knn_5,0.7832436069986541,0.7039887136077979,0.7410771704180065,0.8395704318099027,0.6507263922518159,0.7419303461456784,0.8726561941445514,0.7758279379438667
rus,log,minmax,none,xgboost,0.8512113055181696,0.7420802872899833,0.8228365384615384,0.9349315068493151,0.700877584411721,0.8117785817463787,0.9419469988123084,0.8361256974746519
rus,log,minmax,none,gradboost,0.7433378196500673,0.7204052840836219,0.7116286103130197,0.8524530773196596,0.6888381387382243,0.8283119009268307,0.8477064963493596,0.8271550367097884
